<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.06	23:00:00	2856.44	2856.86	2854.81	2855.49	1125	0	25
2025.02.06	23:30:00	2855.49	2857.04	2855.14	2855.96	1069	0	25
2025.02.07	01:00:00	2855.61	2857.83	2855.57	2857.65	1010	0	25
2025.02.07	01:30:00	2857.65	2858.57	2856.77	2858.03	1051	0	25
2025.02.07	02:00:00	2857.99	2860.29	2857.96	2859.53	732	0	25
2025.02.07	02:30:00	2859.53	2860.52	2857.89	2858.34	1623	0	25
2025.02.07	03:00:00	2858.30	2864.06	2857.71	2862.70	3347	0	25
2025.02.07	03:30:00	2862.71	2867.98	2862.36	2866.15	2923	0	25
2025.02.07	04:00:00	2866.15	2869.20	2865.34	2868.21	2672	0	25
2025.02.07	04:30:00	2868.32	2868.92	2867.18	2868.69	2198	0	25
2025.02.07	05:00:00	2868.69	2870.45	2867.18	2867.44	2884	0	25
2025.02.07	05:30:00	2867.45	2868.84	2865.91	2867.22	1831	0	25
2025.02.07	06:00:00	2867.22	2868.95	2867.07	2868.37	1706	0	25
2025.02.07	06:30:00	2868.37	2869.70	2866.15	2866.46	1523	0	25
2025.02.07	07:00:00	2866.50	2867.10	2864.86	2865.24	1912	0	25
2025.02.07	07:30:00	2865.24	2865.62	2862.08	2862.18	3169	0	25
2025.02.07	08:00:00	2862.16	2866.09	2860.46	2863.57	3190	0	25
2025.02.07	08:30:00	2863.72	2863.72	2858.89	2860.80	2915	0	25
2025.02.07	09:00:00	2860.74	2865.59	2860.22	2863.64	2686	0	25
2025.02.07	09:30:00	2863.64	2865.56	2863.34	2863.98	2393	0	25
2025.02.07	10:00:00	2863.99	2866.46	2863.16	2863.35	2731	0	25
2025.02.07	10:30:00	2863.48	2866.66	2863.32	2866.40	2818	0	25
2025.02.07	11:00:00	2866.42	2870.64	2865.58	2869.34	3848	0	25
2025.02.07	11:30:00	2869.34	2870.43	2867.38	2868.87	2421	0	25
2025.02.07	12:00:00	2868.87	2869.14	2863.33	2866.31	3082	0	25
2025.02.07	12:30:00	2866.32	2867.69	2864.92	2867.49	2980	0	25
2025.02.07	13:00:00	2867.47	2868.00	2865.21	2866.50	3163	0	25
2025.02.07	13:30:00	2866.49	2868.32	2865.05	2867.66	2515	0	25
2025.02.07	14:00:00	2867.66	2868.01	2864.46	2866.41	3095	0	25
2025.02.07	14:30:00	2866.41	2867.02	2863.50	2863.57	2858	0	25
2025.02.07	15:00:00	2863.57	2865.01	2860.23	2864.30	4437	0	25
2025.02.07	15:30:00	2864.30	2871.17	2852.46	2862.47	7079	0	25
2025.02.07	16:00:00	2862.47	2875.18	2856.10	2873.39	6673	0	25
2025.02.07	16:30:00	2873.48	2878.21	2871.43	2876.26	5841	0	25
2025.02.07	17:00:00	2875.38	2883.17	2873.68	2882.93	5558	0	25
2025.02.07	17:30:00	2882.95	2886.73	2878.58	2880.41	5110	0	25
2025.02.07	18:00:00	2880.47	2881.50	2865.51	2869.31	5998	0	25
2025.02.07	18:30:00	2869.32	2870.24	2860.29	2860.59	4523	0	25
2025.02.07	19:00:00	2860.56	2862.62	2856.00	2858.18	5294	0	25
2025.02.07	19:30:00	2858.19	2860.24	2853.35	2859.92	3757	0	25
2025.02.07	20:00:00	2859.91	2865.12	2859.58	2862.81	2792	0	25
2025.02.07	20:30:00	2862.81	2864.62	2860.65	2861.13	2435	0	25
2025.02.07	21:00:00	2861.37	2863.09	2860.41	2861.24	2143	0	25
2025.02.07	21:30:00	2861.24	2862.59	2858.95	2860.25	1998	0	25
2025.02.07	22:00:00	2860.18	2863.76	2859.34	2860.09	2673	0	25
2025.02.07	22:30:00	2860.09	2861.53	2859.51	2860.62	3045	0	25
2025.02.07	23:00:00	2860.81	2863.30	2860.46	2862.76	1938	0	25
2025.02.07	23:30:00	2862.78	2863.07	2860.45	2861.33	1031	0	25
2025.02.10	01:00:00	2855.88	2869.89	2855.71	2869.83	1742	0	25
2025.02.10	01:30:00	2869.73	2870.44	2866.61	2867.46	1908	0	25
2025.02.10	02:00:00	2867.46	2869.11	2865.68	2867.20	1948	0	25
2025.02.10	02:30:00	2867.22	2868.92	2866.06	2867.90	1615	0	25
2025.02.10	03:00:00	2867.90	2876.55	2867.76	2868.99	4228	0	25
2025.02.10	03:30:00	2869.00	2871.98	2866.01	2871.92	3888	0	25
2025.02.10	04:00:00	2871.91	2875.06	2871.40	2874.02	2862	0	25
2025.02.10	04:30:00	2874.02	2874.45	2871.85	2873.81	2904	0	25
2025.02.10	05:00:00	2873.81	2874.41	2871.28	2873.32	2626	0	25
2025.02.10	05:30:00	2873.24	2875.75	2872.45	2875.53	1505	0	25
2025.02.10	06:00:00	2875.53	2877.48	2874.36	2877.11	1937	0	25
2025.02.10	06:30:00	2877.11	2879.58	2876.12	2879.01	2090	0	25
2025.02.10	07:00:00	2879.19	2879.95	2877.85	2878.60	2081	0	25
2025.02.10	07:30:00	2878.60	2879.23	2876.04	2879.20	3030	0	25
2025.02.10	08:00:00	2879.20	2885.01	2878.85	2884.89	3152	0	25
2025.02.10	08:30:00	2884.89	2892.30	2884.07	2888.37	3259	0	25
2025.02.10	09:00:00	2888.38	2892.39	2886.56	2892.23	3547	0	25
2025.02.10	09:30:00	2892.37	2896.60	2891.08	2895.57	3620	0	25
2025.02.10	10:00:00	2895.54	2896.35	2892.20	2895.11	3901	0	25
2025.02.10	10:30:00	2894.96	2898.84	2894.27	2896.51	3426	0	25
2025.02.10	11:00:00	2896.51	2901.36	2896.17	2899.83	3505	0	25
2025.02.10	11:30:00	2899.75	2903.16	2899.45	2902.90	3144	0	25
2025.02.10	12:00:00	2902.91	2906.21	2901.42	2902.21	3670	0	25
2025.02.10	12:30:00	2902.18	2902.54	2898.17	2902.28	3320	0	25
2025.02.10	13:00:00	2902.37	2904.90	2898.30	2900.06	3292	0	25
2025.02.10	13:30:00	2900.07	2905.74	2899.86	2904.63	2974	0	25
2025.02.10	14:00:00	2904.62	2906.92	2903.97	2904.29	4039	0	25
2025.02.10	14:30:00	2904.28	2906.81	2902.64	2902.93	3416	0	25
2025.02.10	15:00:00	2902.92	2910.88	2901.14	2903.23	5830	0	25
2025.02.10	15:30:00	2903.25	2904.15	2899.66	2901.05	5400	0	25
2025.02.10	16:00:00	2901.04	2904.92	2896.33	2904.40	5294	0	25
2025.02.10	16:30:00	2904.41	2909.22	2901.73	2908.61	5757	0	25
2025.02.10	17:00:00	2908.64	2911.16	2904.42	2908.11	4536	0	25
2025.02.10	17:30:00	2908.29	2911.56	2904.87	2908.92	4108	0	25
2025.02.10	18:00:00	2908.92	2910.23	2904.23	2905.77	4168	0	25
2025.02.10	18:30:00	2905.76	2906.62	2899.28	2901.00	3090	0	25
2025.02.10	19:00:00	2901.00	2902.97	2898.01	2899.19	3153	0	25
2025.02.10	19:30:00	2899.16	2904.25	2896.62	2903.15	3760	0	25
2025.02.10	20:00:00	2903.15	2906.76	2900.81	2906.04	3334	0	25
2025.02.10	20:30:00	2906.05	2906.79	2904.56	2905.04	2870	0	25
2025.02.10	21:00:00	2905.04	2906.59	2903.67	2904.16	2435	0	25
2025.02.10	21:30:00	2904.15	2905.14	2902.45	2904.27	2594	0	25
2025.02.10	22:00:00	2904.27	2905.46	2902.98	2903.20	2085	0	25
2025.02.10	22:30:00	2903.19	2907.73	2902.88	2907.30	2471	0	25
2025.02.10	23:00:00	2907.17	2907.17	2905.28	2905.93	1372	0	25
2025.02.10	23:30:00	2905.95	2908.24	2905.86	2907.94	1404	0	25
2025.02.11	01:00:00	2907.92	2913.16	2907.92	2912.06	1360	0	25
2025.02.11	01:30:00	2912.06	2921.58	2911.42	2917.68	2294	0	25
2025.02.11	02:00:00	2917.68	2918.98	2916.36	2918.36	1389	0	25
2025.02.11	02:30:00	2918.36	2925.07	2917.42	2922.37	2236	0	25
2025.02.11	03:00:00	2922.37	2932.28	2919.66	2927.97	4779	0	25
2025.02.11	03:30:00	2927.94	2936.12	2927.22	2933.82	3917	0	25
2025.02.11	04:00:00	2933.84	2942.64	2933.55	2939.79	3944	0	25
2025.02.11	04:30:00	2939.79	2941.44	2905.92	2918.80	6398	0	25
2025.02.11	05:00:00	2918.72	2923.12	2911.51	2922.53	4790	0	25
2025.02.11	05:30:00	2922.52	2925.69	2917.13	2919.67	3342	0	25
2025.02.11	06:00:00	2919.70	2920.80	2917.99	2919.57	2525	0	25
2025.02.11	06:30:00	2919.57	2919.65	2915.02	2916.51	2680	0	25
2025.02.11	07:00:00	2916.33	2919.72	2915.33	2918.79	2681	0	25
2025.02.11	07:30:00	2918.82	2923.73	2917.73	2922.88	3627	0	25
